iter	Passed	Remaining
716	939	370
717	941	369
718	942	368
719	943	366
720	944	365
721	945	364
722	947	362
723	948	361
724	950	360
725	951	359
726	952	357
727	953	356
728	954	355
729	956	353
730	957	352
731	959	351
732	960	349
733	961	348
734	962	347
735	963	345
736	964	344
737	966	342
738	967	341
739	968	340
740	969	338
741	970	337
742	971	336
743	972	334
744	973	333
745	975	331
746	976	330
747	977	329
748	978	327
749	979	326
750	981	325
751	982	323
752	983	322
753	984	321
754	986	320
755	987	318
756	988	317
757	989	315
758	990	314
759	991	313
760	993	311
761	994	310
762	995	309
763	996	307
764	998	306
765	999	305
766	1000	304
767	1001	302
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1007	295
773	1008	294
774	1009	293
775	1010	291
776	1011	290
777	1012	288
778	1013	287
779	1014	286
780	1015	284
781	1015	283
782	1016	281
783	1018	280
784	1019	279
785	1020	277
786	1021	276
787	1022	275
788	1023	273
789	1025	272
790	1026	271
791	1027	269
792	1028	268
793	1030	267
794	1031	265
795	1033	264
796	1034	263
797	1035	262
798	1036	260
799	1037	259
800	1038	258
801	1039	256
802	1040	255
803	1042	254
804	1043	252
805	1044	251
806	1045	250
807	1046	248
808	1047	247
809	1048	246
810	1050	244
811	1051	243
812	1052	242
813	1053	240
814	1053	239
815	1055	237
816	1056	236
817	1057	235
818	1058	234
819	1060	232
820	1061	231
821	1062	230
822	1063	228
823	1065	227
824	1066	226
825	1067	224
826	1068	223
827	1070	222
828	1071	221
829	1072	219
830	1074	218
831	1075	217
832	1076	215
833	1078	214
834	1079	213
835	1079	211
836	1080	210
837	1081	209
838	1082	207
839	1083	206
840	1084	204
841	1085	203
842	1087	202
843	1088	201
844	1089	199
845	1090	198
846	1092	197
847	1093	196
848	1095	194
849	1096	193
850	1097	192
851	1098	190
852	1100	189
853	1101	188
854	1102	187
855	1104	185
856	1105	184
857	1106	183
858	1107	181
859	1109	180
860	1109	179
861	1110	177
862	1111	176
863	1112	175
864	1113	173
865	1114	172
866	1115	171
867	1116	169
868	1117	168
869	1119	167
870	1120	165
871	1122	164
872	1123	163
873	1124	162
874	1124	160
875	1125	159
876	1126	158
877	1127	156
878	1128	155
879	1129	154
880	1130	152
881	1131	151
882	1132	150
883	1133	148
884	1133	147
885	1134	146
886	1135	144
887	1136	143
888	1137	142
889	1138	140
890	1139	139
891	1140	138
892	1141	136
893	1142	135
894	1143	134
895	1144	132
896	1145	131
897	1146	130
898	1147	128
899	1148	127
900	1149	126
901	1150	124
902	1151	123
903	1152	122
904	1153	121
905	1154	119
906	1155	118
907	1156	117
908	1157	115
909	1157	114
910	1158	113
911	1159	111
912	1160	110
913	1161	109
914	1162	107
915	1163	106
916	1164	105
917	1165	104
918	1165	102
919	1166	101
920	1168	100
921	1169	98
922	1170	97
923	1171	96
924	1172	95
925	1174	93
926	1175	92
927	1176	91
928	1177	90
929	1178	88
930	1179	87
931	1180	86
932	1181	84
933	1182	83
934	1183	82
935	1184	80
936	1185	79
937	1186	78
938	1186	77
939	1187	75
940	1188	74
941	1189	73
942	1190	71
943	1191	70
944	1192	69
945	1193	68
946	1194	66
947	1194	65
948	1195	64
949	1196	62
950	1198	61
951	1199	60
952	1200	59
953	1202	57
954	1203	56
955	1204	55
956	1205	54
957	1207	52
958	1208	51
959	1209	50
960	1210	49
961	1212	47
962	1213	46
963	1214	45
964	1215	44
965	1215	42
966	1216	41
967	1217	40
968	1218	38
969	1219	37
970	1220	36
971	1221	35
972	1222	33
973	1222	32
974	1223	31
975	1224	30
976	1225	28
977	1226	27
978	1227	26
979	1228	25
980	1229	23
981	1230	22
982	1230	21
983	1231	20
984	1232	18
985	1233	17
986	1234	16
987	1235	15
988	1237	13
989	1238	12
990	1239	11
991	1240	10
992	1241	8
993	1242	7
994	1243	6
995	1244	4
996	1245	3
997	1246	2
998	1246	1
999	1247	0
